epoch,train_c_loss,train_c_accuracy,val_c_loss,val_c_accuracy,test_c_loss,test_c_accuracy
0,2.32794706748,0.307281814838,2.31406470707,0.349330357143,-1,-1
1,2.15990515645,0.488348570828,2.27897419248,0.391834077381,-1,-1
2,2.08925910154,0.563984342161,2.27556682484,0.405133928571,-1,-1
3,2.04852793887,0.607736312526,2.27876269817,0.40271577381,-1,-1
4,2.02237652159,0.63751839008,2.27836248421,0.40662202381,-1,-1
5,2.00388725248,0.661717764817,2.28038499185,0.408947172619,-1,-1
6,1.989592281,0.679556142287,2.28000215406,0.411923363095,-1,-1
7,1.97821451466,0.694465242749,2.28555291607,0.412202380952,-1,-1
8,1.96912112903,0.706481189575,2.28905128581,0.407180059524,-1,-1
9,1.96154070016,0.71638556116,2.28880640155,0.406436011905,-1,-1
10,1.95476347667,0.724982923497,2.29188752742,0.404854910714,-1,-1
11,1.94943186409,0.733061422867,2.28673206341,0.41173735119,-1,-1
12,1.94428588989,0.740420738756,2.29063786779,0.408761160714,-1,-1
13,1.93997388815,0.746860550652,2.29525450582,0.412760416667,-1,-1
14,1.93643822901,0.752551623581,2.29339667161,0.411179315476,-1,-1
15,1.93332970894,0.757868327028,2.29733761435,0.411086309524,-1,-1
16,1.92997797711,0.762804093106,2.29798054411,0.412667410714,-1,-1
17,1.92736660753,0.766905737705,2.29879144828,0.411179315476,-1,-1
18,1.92523078264,0.770685555906,2.30294332902,0.411458333333,-1,-1
19,1.92306246037,0.77398263451,2.30223276502,0.409691220238,-1,-1
20,1.92088821587,0.777933217739,2.30513087908,0.407924107143,-1,-1
21,1.91893756204,0.781213876629,2.3090833312,0.404482886905,-1,-1
22,1.91696742364,0.784304066835,2.30510774681,0.404854910714,-1,-1
23,1.91546556182,0.786346679277,2.30787276654,0.404947916667,-1,-1
24,1.91393776289,0.789420449769,2.31041815167,0.40234375,-1,-1
25,1.9126325073,0.792139554435,2.31272582781,0.401692708333,-1,-1
26,1.911171318,0.79435949979,2.31547029245,0.398902529762,-1,-1
27,1.91007958645,0.796641840059,2.31665311541,0.398530505952,-1,-1
28,1.90890676477,0.798664748844,2.31494362865,0.403366815476,-1,-1
29,1.90787905983,0.800313288146,2.31473805223,0.405040922619,-1,-1
30,1.90677568836,0.802352616646,2.31766412372,0.403087797619,-1,-1
31,1.90605958774,0.803567675494,2.31292689982,0.404296875,-1,-1
32,1.90515506603,0.80562670765,2.31533519711,0.403087797619,-1,-1
33,1.90428769999,0.80744601198,2.3224080063,0.402994791667,-1,-1
34,1.90330720629,0.809055143968,2.31809608709,0.405133928571,-1,-1
35,1.90241343502,0.811032077554,2.31637299628,0.401692708333,-1,-1
36,1.90192651012,0.812092791089,2.32000388986,0.400297619048,-1,-1
37,1.90133228689,0.813284862337,2.31712442636,0.406436011905,-1,-1
38,1.90071596975,0.81420436633,2.31897833234,0.402157738095,-1,-1
39,1.90016466412,0.815971127575,2.31932576781,0.400297619048,-1,-1
40,1.89969204393,0.816854508197,2.32048076959,0.401134672619,-1,-1
41,1.89904027909,0.817944777217,2.32723771107,0.395833333333,-1,-1
42,1.89831606402,0.819238650694,2.32304263399,0.401599702381,-1,-1
43,1.89768825208,0.820506252627,2.32557765927,0.398995535714,-1,-1
44,1.89719921168,0.821389633249,2.32627721628,0.401506696429,-1,-1
45,1.89689703602,0.822368248214,2.32499629259,0.3984375,-1,-1
46,1.89628588221,0.823803331232,2.32444154649,0.399274553571,-1,-1
47,1.89589714012,0.824463403741,2.3222067498,0.401134672619,-1,-1
48,1.89543333075,0.825281105507,2.3266163667,0.399553571429,-1,-1
49,1.89506838972,0.826128362757,2.32925012566,0.397507440476,-1,-1
test set performance,-1,-1,-1,-1,2.28503284568,0.416108630952
