epoch,train_c_loss,train_c_accuracy,val_c_loss,val_c_accuracy,test_c_loss,test_c_accuracy
0,2.33793999027,0.317698481505,2.32443078075,0.343191964286,-1,-1
1,2.17058661787,0.475491934636,2.29590310653,0.378720238095,-1,-1
2,2.09847958372,0.553639922236,2.28257172732,0.391369047619,-1,-1
3,2.0542456542,0.59924403636,2.28063902117,0.400669642857,-1,-1
4,2.02697271397,0.627880017865,2.2822077473,0.40271577381,-1,-1
5,2.00849567095,0.650759247583,2.28477583329,0.40392485119,-1,-1
6,1.9949017913,0.667205233291,2.29181713717,0.407273065476,-1,-1
7,1.98359276793,0.68047564628,2.29069543169,0.405226934524,-1,-1
8,1.97421531258,0.694668847205,2.29677438736,0.400576636905,-1,-1
9,1.966217746,0.704812946616,2.29327677261,0.405505952381,-1,-1
10,1.96004738363,0.713413592896,2.29926584448,0.402157738095,-1,-1
11,1.95397742634,0.723226014082,2.29957460222,0.402436755952,-1,-1
12,1.94901551515,0.730270071459,2.30280653068,0.400855654762,-1,-1
13,1.94462394414,0.736847808953,2.3046373952,0.401506696429,-1,-1
14,1.94045667154,0.743129991593,2.30806373982,0.400855654762,-1,-1
15,1.9372018954,0.749113335435,2.30809707301,0.400483630952,-1,-1
16,1.93372145828,0.753694435687,2.31004254023,0.402064732143,-1,-1
17,1.93095864359,0.759073534048,2.31313012327,0.397042410714,-1,-1
18,1.92826389174,0.763674337957,2.3104007386,0.40271577381,-1,-1
19,1.92594100463,0.767697167928,2.31265364091,0.401134672619,-1,-1
20,1.92382157716,0.771595208071,2.31473460084,0.399553571429,-1,-1
21,1.92155352356,0.774885718789,2.32154161589,0.393415178571,-1,-1
22,1.91996678097,0.777874106768,2.31826971826,0.396484375,-1,-1
23,1.91827066594,0.780163014922,2.31752603111,0.39453125,-1,-1
24,1.91670148826,0.783299180328,2.32005083845,0.395368303571,-1,-1
25,1.91495555772,0.786438629676,2.32162718262,0.393043154762,-1,-1
26,1.91396660953,0.788849043716,2.32214955205,0.39490327381,-1,-1
27,1.91280510587,0.790970470786,2.32112448556,0.398251488095,-1,-1
28,1.91140271591,0.793394020597,2.32094111613,0.39295014881,-1,-1
29,1.91007402636,0.795610682009,2.31924670935,0.395554315476,-1,-1
30,1.90893877595,0.797416850567,2.32198805468,0.392671130952,-1,-1
31,1.90793839148,0.799620376208,2.32324230103,0.392578125,-1,-1
32,1.90741702472,0.801130989912,2.32322533074,0.396298363095,-1,-1
33,1.9062879748,0.802730270071,2.32079220386,0.397879464286,-1,-1
34,1.90544676726,0.804470759773,2.32547788961,0.391927083333,-1,-1
35,1.90491120682,0.805577448508,2.32383846669,0.393694196429,-1,-1
36,1.90412483079,0.807383617066,2.32366204546,0.394345238095,-1,-1
37,1.90383642549,0.808204602774,2.32774079414,0.392764136905,-1,-1
38,1.9030070831,0.809872845734,2.32648340577,0.395275297619,-1,-1
39,1.90186623562,0.81156079235,2.32544209276,0.396670386905,-1,-1
40,1.90135125309,0.812805406683,2.32762834572,0.394810267857,-1,-1
41,1.90072074153,0.813852984447,2.32842924765,0.394810267857,-1,-1
42,1.90019513625,0.81506147541,2.32840490057,0.394438244048,-1,-1
43,1.89973203191,0.815879177175,2.33046393167,0.391276041667,-1,-1
44,1.89934963266,0.817120507566,2.33152029344,0.391090029762,-1,-1
45,1.89885785245,0.817934925389,2.33301775228,0.389973958333,-1,-1
46,1.89822433916,0.819051465952,2.33255298932,0.389415922619,-1,-1
47,1.89756366504,0.820112179487,2.33202466794,0.393880208333,-1,-1
48,1.89718784064,0.82107765868,2.33314757688,0.394252232143,-1,-1
49,1.89696161103,0.822174495586,2.3339749376,0.390904017857,-1,-1
test set performance,-1,-1,-1,-1,2.27591910816,0.420200892857
