epoch,train_c_loss,train_c_accuracy,val_c_loss,val_c_accuracy,test_c_loss,test_c_accuracy
0,2.66217484821,0.0805748213535,2.72411377373,0.0702194940476,-1,-1
1,2.68384406455,0.0718690889029,2.72372657344,0.0704985119048,-1,-1
2,2.6829399792,0.0723518284994,2.71795293263,0.0735677083333,-1,-1
3,2.68172154992,0.0730545922657,2.72466880083,0.0700334821429,-1,-1
4,2.68205360466,0.072890395124,2.72216253337,0.0714285714286,-1,-1
5,2.68174371984,0.0730841477512,2.72234849419,0.0711495535714,-1,-1
6,2.68170723578,0.0730907156368,2.72234847716,0.0712425595238,-1,-1
7,2.68172434109,0.0730907156368,2.72262749218,0.0712425595238,-1,-1
8,2.68169859038,0.0730907156368,2.72272050381,0.0713355654762,-1,-1
9,2.6817300448,0.0730972835225,2.72225546837,0.0711495535714,-1,-1
10,2.68173402245,0.0730742959227,2.72225547121,0.0709635416667,-1,-1
11,2.68172019587,0.0730808638083,2.72216246242,0.0713355654762,-1,-1
12,2.68173661348,0.0730775798655,2.72290651287,0.0712425595238,-1,-1
13,2.68173333024,0.073087431694,2.7225344919,0.0711495535714,-1,-1
14,2.6817300466,0.0730939995797,2.72216246242,0.0712425595238,-1,-1
15,2.68172348032,0.0730907156368,2.72272049813,0.0712425595238,-1,-1
16,2.68172347982,0.0730907156368,2.72234848851,0.0712425595238,-1,-1
17,2.68172019227,0.0730939995797,2.72242191292,0.0712425595238,-1,-1
18,2.68172019507,0.0730841477512,2.72253449474,0.071056547619,-1,-1
19,2.68172676115,0.073087431694,2.7225344919,0.071056547619,-1,-1
20,2.68172347731,0.0730939995797,2.7224219186,0.0712425595238,-1,-1
21,2.68173989662,0.0730808638083,2.72225547405,0.0713355654762,-1,-1
22,2.68173333064,0.073087431694,2.72234847716,0.0712425595238,-1,-1
23,2.6817300462,0.0730841477512,2.72244148027,0.0709635416667,-1,-1
24,2.68173661418,0.0730841477512,2.7220694593,0.0713355654762,-1,-1
25,2.68172676095,0.0730841477512,2.7224414746,0.071056547619,-1,-1
26,2.68173989853,0.0730907156368,2.72253448055,0.0713355654762,-1,-1
27,2.68171691143,0.0730907156368,2.72251491603,0.0711495535714,-1,-1
28,2.68172019196,0.0730841477512,2.72232889845,0.0709635416667,-1,-1
29,2.6817293554,0.0730907156368,2.72234846864,0.071056547619,-1,-1
30,2.68172675955,0.0730939995797,2.72244148595,0.0711495535714,-1,-1
31,2.68171362809,0.0730907156368,2.72262748934,0.0709635416667,-1,-1
32,2.6817300452,0.0730907156368,2.72253449474,0.0712425595238,-1,-1
33,2.68173661368,0.0730775798655,2.72225546269,0.0711495535714,-1,-1
34,2.6817300463,0.0730775798655,2.72188343604,0.0712425595238,-1,-1
35,2.68171034555,0.0730939995797,2.72244148311,0.0713355654762,-1,-1
36,2.68172019627,0.0730907156368,2.72216245674,0.0713355654762,-1,-1
37,2.68173263944,0.0730907156368,2.72234846297,0.0711495535714,-1,-1
38,2.68173920833,0.0730907156368,2.72253449758,0.0711495535714,-1,-1
39,2.68171362668,0.0730808638083,2.72206945646,0.0714285714286,-1,-1
40,2.68172676246,0.0730939995797,2.72216246809,0.071056547619,-1,-1
41,2.68173333014,0.0730841477512,2.7224219186,0.0712425595238,-1,-1
42,2.68171691093,0.0730907156368,2.72234847716,0.0713355654762,-1,-1
43,2.68173332874,0.0730808638083,2.72234847716,0.0711495535714,-1,-1
44,2.68172278671,0.0730808638083,2.72262748934,0.0713355654762,-1,-1
45,2.68172676226,0.0730775798655,2.72225545985,0.0709635416667,-1,-1
46,2.6817300458,0.073067728037,2.72234848,0.0712425595238,-1,-1
47,2.68173332844,0.0730841477512,2.7226274865,0.0712425595238,-1,-1
48,2.6817300461,0.0730907156368,2.72206944795,0.0709635416667,-1,-1
49,2.68172019567,0.0730841477512,2.72234846013,0.0711495535714,-1,-1
test set performance,-1,-1,-1,-1,2.72895875431,0.0643601190476
