epoch,train_c_loss,train_c_accuracy,val_c_loss,val_c_accuracy,test_c_loss,test_c_accuracy
0,2.37971948154,0.222533102144,2.3330529616,0.299293154762,-1,-1
1,2.1989548983,0.407412515763,2.29890647672,0.363560267857,-1,-1
2,2.12395822596,0.510508617066,2.28375286999,0.395368303571,-1,-1
3,2.07972427931,0.56755398802,2.28653980437,0.395368303571,-1,-1
4,2.05106702634,0.598843395334,2.28313469603,0.41015625,-1,-1
5,2.03283270471,0.620678331232,2.28022133736,0.413039434524,-1,-1
6,2.01897894379,0.637134168768,2.28052607888,0.412295386905,-1,-1
7,2.0086833863,0.649695250105,2.28354983387,0.413132440476,-1,-1
8,2.00034075156,0.659284363178,2.28707895109,0.409970238095,-1,-1
9,1.99359918503,0.669448166246,2.28741534835,0.411365327381,-1,-1
10,1.9873019059,0.676311606768,2.29060924905,0.406994047619,-1,-1
11,1.98233460233,0.683145491803,2.28713592745,0.413132440476,-1,-1
12,1.97808863461,0.688859552333,2.2920619448,0.404203869048,-1,-1
13,1.97443479653,0.696215584279,2.29505261921,0.405598958333,-1,-1
14,1.97135318648,0.700711302018,2.296788613,0.402622767857,-1,-1
15,1.96820874312,0.70465531736,2.29656472944,0.398251488095,-1,-1
16,1.96537980616,0.708136296763,2.29583554325,0.397972470238,-1,-1
17,1.96325000408,0.711811028794,2.29707656588,0.40466889881,-1,-1
18,1.96095633156,0.715282156368,2.29677519628,0.3984375,-1,-1
19,1.95878074614,0.718579234973,2.29854216746,0.402250744048,-1,-1
20,1.95724795104,0.72170554855,2.29723841803,0.400390625,-1,-1
21,1.95560539916,0.724477196301,2.30117283549,0.403831845238,-1,-1
22,1.9541931703,0.725764501892,2.30315052895,0.39806547619,-1,-1
23,1.95268350406,0.727616645649,2.2989507573,0.399646577381,-1,-1
24,1.95207432455,0.729830023119,2.30345831882,0.401878720238,-1,-1
25,1.95055383416,0.73179053699,2.30678730919,0.396298363095,-1,-1
26,1.94954207451,0.733652532577,2.30493453855,0.40197172619,-1,-1
27,1.94825132057,0.736604797184,2.30385763588,0.402157738095,-1,-1
28,1.94770114309,0.737071117066,2.30641877084,0.393973214286,-1,-1
29,1.94644474843,0.738345286885,2.30228023302,0.399181547619,-1,-1
30,1.94518808524,0.740844367381,2.30116988364,0.405133928571,-1,-1
31,1.944881665,0.742226907314,2.30417417345,0.399181547619,-1,-1
32,1.9446746857,0.741845969945,2.30588037059,0.39806547619,-1,-1
33,1.94417282777,0.743343447877,2.30597712596,0.399646577381,-1,-1
34,1.94347326753,0.744706284153,2.30714271182,0.399646577381,-1,-1
35,1.94312348387,0.746272724884,2.3080674495,0.399274553571,-1,-1
36,1.94283941936,0.74702146385,2.30758067824,0.400390625,-1,-1
37,1.94243795995,0.74726447562,2.30794409911,0.40076264881,-1,-1
38,1.94192969103,0.747950819672,2.30673744281,0.399274553571,-1,-1
39,1.94170273778,0.748141288356,2.30543602081,0.400111607143,-1,-1
40,1.94144073335,0.748545213325,2.31093444143,0.396298363095,-1,-1
41,1.94170501814,0.748387584069,2.30824965522,0.394438244048,-1,-1
42,1.94112856982,0.749054224464,2.31133113589,0.387741815476,-1,-1
43,1.94130429689,0.748732398066,2.31687922705,0.385602678571,-1,-1
44,1.94095751867,0.749169162463,2.30950089012,0.394810267857,-1,-1
45,1.94109280789,0.749635482346,2.30656852041,0.390531994048,-1,-1
46,1.94037739331,0.749773407945,2.30546863306,0.39415922619,-1,-1
47,1.94073230567,0.749458149433,2.30692463546,0.39611235119,-1,-1
48,1.94059684082,0.750190468684,2.31023512,0.399088541667,-1,-1
49,1.94009957212,0.751438366961,2.30819355874,0.398251488095,-1,-1
test set performance,-1,-1,-1,-1,2.2695982882,0.41954985119
