epoch,train_c_loss,train_c_accuracy,val_c_loss,val_c_accuracy,test_c_loss,test_c_accuracy
0,2.73532783609,0.0791495901639,2.72761706227,0.0892857142857,-1,-1
1,2.74996088392,0.075665326818,2.74573800961,0.0858444940476,-1,-1
2,2.75633177501,0.0737048129466,2.73973373856,0.0869605654762,-1,-1
3,2.74837522659,0.0726802227827,2.72703255074,0.0807291666667,-1,-1
4,2.74649249671,0.0719249159311,2.72687665905,0.0805431547619,-1,-1
5,2.71374745417,0.0780034941152,2.72370437213,0.0848214285714,-1,-1
6,2.70595460852,0.0794517129046,2.72723257258,0.0843563988095,-1,-1
7,2.70651435992,0.0792612442203,2.72898741563,0.083984375,-1,-1
8,2.72573973522,0.0782366540563,2.74145640646,0.0862165178571,-1,-1
9,2.72761678936,0.0795370954182,2.74079891614,0.0859375,-1,-1
10,2.7264564347,0.0799278846154,2.73861560084,0.0869605654762,-1,-1
11,2.72539660699,0.0805124264397,2.74232835429,0.0862165178571,-1,-1
12,2.72334994484,0.0795305275326,2.65435117767,0.0736607142857,-1,-1
13,2.64136489062,0.0733173076923,2.64005759784,0.0778459821429,-1,-1
14,2.63867153957,0.0738952816309,2.63943151349,0.078125,-1,-1
15,2.63861667343,0.0741974043716,2.64047727131,0.0776599702381,-1,-1
16,2.63889733439,0.0743189102564,2.64127803984,0.077380952381,-1,-1
17,2.63873186228,0.0742335277427,2.63992830685,0.0784040178571,-1,-1
18,2.63877984013,0.0746177490542,2.64162965048,0.0775669642857,-1,-1
